Pre St Gervais,2.398740,48.880240
Puteaux,2.234340,48.884090
Pyramides,2.333920,48.866480
Pyrenees,2.385260,48.873920
Quai de la Gare,2.373060,48.837250
Quai de la Rapee,2.365870,48.846550
Quatre Septembre,2.336460,48.869660
Rambuteau,2.353400,48.861240
Ranelagh,2.269620,48.855040
Raspail,2.330720,48.839040
Reaumur Sebastopol,2.352390,48.866280
Rennes,2.328040,48.848470
Republique,2.364090,48.867350
Reuilly Diderot,2.386570,48.847320
Reullly Diderot,2.386580,48.847330
Richard Lenoir,2.372070,48.860260
Richelieu Drouot,2.339680,48.872130
Riquet,2.374160,48.888380
Ris Orangis,2.414480,48.659310
Robespierre,2.423460,48.855790
Robinson,2.281070,48.780030
Roissy en Brie,2.649590,48.795900
Rome,2.320280,48.882130
Rosny Bois Perrier,2.480980,48.882550
Rosny sous Bois,2.485910,48.870700
Rue de la Pompe,2.278230,48.864150
Rue des Boulets,2.389030,48.852550
Rue du Bac,2.325550,48.855950
Rueil Malmaison,2.170920,48.887040
Rue Saint Maur,2.379450,48.864360
Rungis la Fraternelle,2.352480,48.740360
Saint Amboise,2.374210,48.861300
Saint Augustin,2.321470,48.874680
Saint Cyr,2.072330,48.798690
Saint Denis Porte de Paris,2.355920,48.929920
Saint Denis Universite,2.362610,48.946090
Sainte Placide,2.326930,48.847020
Saint Fargeau,2.404650,48.871980
Saint Georges,2.337370,48.878520
Saint Gratien,2.285620,48.963590
Saint Jacques,2.337080,48.832930
Saint Lazare,2.323740,48.875940
Saint Mande,2.419020,48.846000
Saint Marcel,2.361400,48.839460
Saint Michel,2.343920,48.853680
Saint Ouen,2.319920,48.909770
Saint Philippe du Roule,2.309990,48.872280
Saint Sebastien Froissart,2.367220,48.861090
Sartrouville,2.157310,48.937440
Savigny le Temple Nandy,2.583330,48.596930
Savigny sur Orge,2.352350,48.676420
Sceaux,2.297280,48.781420
Segur,2.306890,48.847490
Sentier,2.346390,48.867590
Sermaise,2.074150,48.538260
Sevran Beaudottes,2.524370,48.947430
Sevran Livry,2.534690,48.936120
Sevres Babylone,2.326520,48.851320
Sevres Lecourbe,2.309460,48.845650
Simplon,2.348190,48.893400
Solferino,2.323250,48.858320
Stade Charlety,2.344770,48.819500
Stade de France St Denis,2.351070,48.917930
Stade Geo Andre,2.402290,48.924540
Stalingrad,2.369160,48.884640
St Cheron,2.122640,48.550410
St Denis,2.345400,48.934430
St Francois Xavier,2.314270,48.851670
St Genevieve des Bois,2.313070,48.653000
St Germain des Pres,2.333260,48.853920
St Germain en Laye,2.095080,48.898270
St Martin d'Etampes,2.145190,48.427690
St Maur Creteil,2.472060,48.806440
St Michel Notre Dame,2.345910,48.853450
St Michel sur Orge,2.306560,48.635820
St Ouen l'Aumone,2.105460,49.045270
St Ouen l'Aumone Liesse,2.127400,49.034750
St Paul,2.361380,48.855180
St Quentin en Yvelines,2.044660,48.787510
Strasbourg St Denis,2.354200,48.869400
St Remy les chevreuse,2.071120,48.702650
St Sulpice,2.331170,48.851520
Sucy Bonneuil,2.507430,48.771050
Sully Morland,2.362300,48.851250
Suresnes Lonchamp,2.221350,48.868100
Survilliers Fosses,2.525860,49.099510
Telegraphe,2.398990,48.875580
Temple,2.360730,48.866420
Termes,2.298200,48.878070
Theatre Gerard philippe,2.350220,48.937570
Tolbiac,2.357030,48.826120
Torcy,2.654850,48.839600
Tournan,2.759970,48.739100
Trinite d4estienne d'Orves,2.333190,48.876350
Trocadero,2.287200,48.862900
Tuileries,2.328360,48.864980
Val de Fontenay,2.489130,48.854310
Val d'Europe,2.774300,48.855960
Vaneau,2.321560,48.848990
Varenne,2.314930,48.856230
Vauboyen,2.192590,48.759030
Vaugirard,2.301490,48.839640
Vavin,2.328930,48.842240
